project_name,instance_id,status,taxonomy_class,taxonomy_subclass,phase,specific_reason,classification_rationale
astropy,astropy__astropy-12907,failure,Misimplementation,Incorrect Assertion,validate_bug_with_llm,"Phase A generated 10 passing candidate(s), but inversion/LLM validation rejected 10 failing candidate(s). Last validation reason: The test is incorrectly structured to validate the bug. The assertion checks if the output of the nested model is not equal to the expected output, which is incorrect because the expected output is actually the correct output. The test should assert that the output matches the expected output instead. Therefore, the test does not correctly reproduce the reported bug, as it fails due to a logical error in the test case rather than a bug in the `separability_matrix` function. Last pytest failure: astropy/tests/test_s26cawr3.py:33: AssertionError",The generated test reaches an oracle but asserts the wrong expected behavior.
astropy,astropy__astropy-13033,failure,Misimplementation,Incorrect Assertion,validate_bug_with_llm,"Phase A generated 10 passing candidate(s), but inversion/LLM validation rejected 10 failing candidate(s). Last validation reason: The test does not correctly reproduce the reported bug because it incorrectly asserts that the exception message should contain the word 'missing'. The actual exception message generated when a required column is removed does not indicate that columns are missing, but rather states that the 'time' column is expected. Therefore, the test fails because it is based on an incorrect assumption about the expected behavior of the exception message. Last pytest failure: astropy/tests/test_bpg9w1jv.py:18: AssertionError",The generated test reaches an oracle but asserts the wrong expected behavior.
astropy,astropy__astropy-13236,failure,Misimplementation,Incorrect Assertion,generate_passing_test,"Phase A failed before inversion: 0 passing candidate(s); 100 failing execution(s) across 10 generation attempt(s). Last pytest failure: AssertionError: assert None == ('field1', 'field2')",The test reaches an oracle but checks the wrong expected state or wrong variable.
astropy,astropy__astropy-13398,failure,Misimplementation,Incorrect Input/Mock,generate_passing_test,"Phase A failed before inversion: 0 passing candidate(s); 100 failing execution(s) across 10 generation attempt(s). Last pytest failure: >           warnings.warn(wmsg.format('after'), AstropyWarning) E           astropy.utils.exceptions.AstropyWarning: Tried to get polar motions for times after IERS data is valid. Defaulting to polar motion from the 50-yr mean for those. This may affect precision at the arcsec level. Please check your astropy.utils.iers.conf.iers_auto_url and point it to a newer version if necessary. astropy/coordinates/builtin_frames/utils.py:67: AstropyWarning","The test setup, input, mock, or fixture does not recreate the buggy state correctly."
astropy,astropy__astropy-13579,failure,Misimplementation,Incorrect Input/Mock,generate_passing_test,"Phase A failed before inversion: 0 passing candidate(s); 100 failing execution(s) across 10 generation attempt(s). Last pytest failure: ValueError: Coordinate frame name ""helioprojective"" is not a known coordinate frame (['altaz', 'barycentricmeanecliptic', 'barycentrictrueecliptic', 'cirs', 'custombarycentricecliptic', 'fk4', 'fk4noeterms', 'fk5', 'galactic', 'galacticlsr', 'galactocentric', 'gcrs', 'geocentricmeanecliptic', 'geocentrictrueecliptic', 'hadec', 'hcrs', 'heliocentriceclipticiau76', 'heliocentricmeanecliptic', 'heliocentrictrueecliptic', 'icrs', 'itrs', 'lsr', 'lsrd', 'lsrk', 'precessedgeocentric', 'supergalactic', 'teme', 'tete'])","The test setup, input, mock, or fixture does not recreate the buggy state correctly."
astropy,astropy__astropy-13977,failure,Misimplementation,Incorrect Assertion,validate_bug_with_llm,"Phase A generated 7 passing candidate(s), but inversion/LLM validation rejected 7 failing candidate(s). Last validation reason: The test is incorrect because it does not accurately reproduce the reported bug. The expectation that the addition of two DuckArray instances with incompatible units should return NotImplemented is flawed. Instead, the addition operation is being handled by the underlying Quantity class, which correctly performs unit conversion and returns a new Quantity object. The test fails because it incorrectly assumes that the result should not be a DuckArray, while in reality, the operation is valid and results in a Quantity object, which is expected behavior. Therefore, the test does not reveal the bug Last pytest failure: FAILED astropy/tests/test_5r16yujq.py::test_duckarray_addition_with_incompatible_units - assert not True",The generated test reaches an oracle but asserts the wrong expected behavior.
astropy,astropy__astropy-14096,failure,Misimplementation,Incorrect Assertion,validate_bug_with_llm,"Phase A generated 10 passing candidate(s), but inversion/LLM validation rejected 10 failing candidate(s). Last validation reason: The test is incorrectly designed to check for an error message related to a non-existent attribute 'random_attr', but the actual error raised is about the property 'prop' not existing. The test fails because it expects a specific error message that does not occur in this context. The error message indicates that the property 'prop' is not found, which is a result of the way Python handles attribute access in subclasses. Therefore, the test does not correctly reproduce the reported bug, as it does not align with the actual behavior of the code. Last pytest failure: FAILED astropy/tests/test_jliz1ys5.py::test_custom_coord_property_access - assert ""object has no attribute 'random_attr'"" in ""'custom_coord' object ha...",The generated test reaches an oracle but asserts the wrong expected behavior.
astropy,astropy__astropy-14182,failure,Misimplementation,Incorrect Assertion,validate_bug_with_llm,"Phase A generated 10 passing candidate(s), but inversion/LLM validation rejected 10 failing candidate(s). Last validation reason: The test fails to reproduce the reported bug because the error message it checks for does not match the actual error raised. The test expects a TypeError indicating that 'header_rows' is an unexpected keyword argument, but instead, it encounters a TypeError stating that 'io_write()' is missing a required positional argument: 'filename'. This discrepancy suggests that the test is incorrectly structured and does not accurately reflect the conditions under which the bug occurs. The test should be focused on the specific behavior of the `tbl.write` method when called with the `header_rows` argumen Last pytest failure: FAILED astropy/tests/test_19k1wsjp.py::test_rst_write_with_header_rows_exposes_bug - assert ""'header_rows' is an unexpected keyword argument"" in ""io_write() mis...",The generated test reaches an oracle but asserts the wrong expected behavior.
astropy,astropy__astropy-14309,success,Accepted,Accepted,terminating,AssertFlip accepted a final bug-revealing test for this instance.,No failure taxonomy label assigned because this run produced an accepted test.
astropy,astropy__astropy-14365,failure,Misimplementation,Incorrect Assertion,validate_bug_with_llm,"Phase A generated 1 passing candidate(s), but inversion/LLM validation rejected 1 failing candidate(s). Last validation reason: The test does not correctly reproduce the reported bug because it fails due to a warning about the `table_id` not being specified, rather than a ValueError related to case sensitivity. The test is valid in its intent to check for case sensitivity, but it does not account for the fact that the `Table.read` method can issue a warning instead of raising an error when the input is not in the expected format. The test should be modified to check for the warning instead of expecting a ValueError, as the original issue ticket indicates that the program should not crash but rather handle the input gra Last pytest failure: FAILED astropy/tests/test_uh585bqe.py::test_ascii_qdp_case_sensitivity - astropy.utils.exceptions.AstropyUserWarning: table_id not specified. Readin...",The generated test reaches an oracle but asserts the wrong expected behavior.
astropy,astropy__astropy-14369,failure,Requirement Misunderstanding,Misunderstanding Edge Case Logic,validate_bug_with_llm,"Phase A generated 10 passing candidate(s), but inversion/LLM validation rejected 10 failing candidate(s). Last validation reason: The test is incorrectly asserting the expected unit for the 'SBCONT' column. The expected unit is 'J / (m s kpc2)', but the actual parsed unit is '1000 J s / (kpc2 m)', which is equivalent to 'J / (m s kpc2)' when considering the factor of 1000. The test fails because it does not account for the scaling factor in the unit parsing, which is a valid representation of the unit. Therefore, the test does not correctly reproduce the reported bug, as the failure is due to a misunderstanding of unit equivalence rather than a bug in the unit parsing itself. Last pytest failure: FAILED astropy/tests/test_8f3w0rhy.py::test_cds_unit_parsing_bug_exposure - assert False",The generated test misses an edge-case or equivalence condition required by the reported behavior.
astropy,astropy__astropy-14508,failure,Mechanical Failure,Output Format Inconsistency,generate_passing_test,"Phase A failed before inversion: 0 passing candidate(s); 100 failing execution(s) across 10 generation attempt(s). Last pytest failure: FAILED astropy/tests/test_rh12ef68.py::test_fits_card_float_formatting_bug - astropy.io.fits.verify.VerifyWarning: Card is too long, comment will be tru...",The oracle appears to expect a different representation or ordering than the actual output.
astropy,astropy__astropy-14539,failure,Mechanical Failure,Not Implemented,generate_passing_test,Phase A failed before inversion: 0 passing candidate(s); 100 failing execution(s) across 10 generation attempt(s). Last pytest failure: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),The generated test is missing a real implementation or contains placeholder logic.
astropy,astropy__astropy-14995,failure,Misimplementation,Incorrect Assertion,validate_bug_with_llm,"Phase A generated 9 passing candidate(s), but inversion/LLM validation rejected 9 failing candidate(s). Last validation reason: The test attempts to reproduce the bug described in the issue ticket, but it does not correctly reflect the conditions under which the bug occurs. The bug is specifically about the behavior of the `multiply` method when one operand has a mask and the other does not. The test is designed to check if a TypeError is raised when multiplying a masked NDDataRef with a no-mask NDDataRef, which is indeed the scenario described in the issue ticket. However, the test fails because it does not account for the fact that the expected behavior is that the mask should be copied over, not that a TypeError sho Last pytest failure: TypeError: unsupported operand type(s) for |: 'int' and 'NoneType'",The generated test reaches an oracle but asserts the wrong expected behavior.
astropy,astropy__astropy-8872,success,Accepted,Accepted,terminating,AssertFlip accepted a final bug-revealing test for this instance.,No failure taxonomy label assigned because this run produced an accepted test.
django,django__django-10554,failure,Misimplementation,Incorrect Input/Mock,generate_passing_test,Phase A failed before inversion: 0 passing candidate(s); 100 failing execution(s) across 10 generation attempt(s). Last pytest failure: FAILED (errors=1),"The test setup, input, mock, or fixture does not recreate the buggy state correctly."
django,django__django-10880,failure,Mechanical Failure,Output Format Inconsistency,generate_passing_test,Phase A failed before inversion: 0 passing candidate(s); 22 failing execution(s) across 10 generation attempt(s). Last pytest failure: No installed app with label 'test_app'.,The oracle appears to expect a different representation or ordering than the actual output.
django,django__django-10914,failure,Mechanical Failure,Incorrect File Reference,generate_passing_test,Phase A failed before inversion: 0 passing candidate(s); 100 failing execution(s) across 10 generation attempt(s). Last pytest failure: FAILED (errors=1),The test or harness refers to a file path that is not present in the target project.
astropy,astropy__astropy-13453,failure,Mechanical Failure,Environment Error,runner,"Command 'docker exec 0b34383a58666d8c800da2e141af18290f579694a3a12f2a8dc8d5e774d03ab4 bash -c ""pip install /assertflip && pip install hypothesis && assertflip --test-cmd 'pytest -rA' --source-dir astropy --tests-dir astropy/tests --max-attempts 10 --dataset /results/astropy__astropy-13453.json --model openai/gpt-4o-mini --phase pass_then_invert --max-generation-retries 10 --max-attempts 10 ""' returned non-zero exit status 1.",The failure occurs in the execution harness or environment before a meaningful bug oracle is evaluated.
astropy,astropy__astropy-14598,failure,Mechanical Failure,Environment Error,runner,"Command 'docker exec 0a3090990a949a9d1ec3e154792c1b3beae2050de67c2450c0751d82f987fffd bash -c ""pip install /assertflip && pip install hypothesis && assertflip --test-cmd 'pytest -rA' --source-dir astropy --tests-dir astropy/tests --max-attempts 10 --dataset /results/astropy__astropy-14598.json --model openai/gpt-4o-mini --phase pass_then_invert --max-generation-retries 10 --max-attempts 10 ""' timed out after 3599.9999706707895 seconds",The failure occurs in the execution harness or environment before a meaningful bug oracle is evaluated.
